character,universe
Barracuda (comics),marvel
Abner Jenkins,marvel
Steel Wind,marvel
Nightcrawler (comics),marvel
Shamrock (comics),marvel
Kylun,marvel
Shadow King,marvel
Quasar (comics),marvel
Yellow Claw (comics),marvel
Champion of the Universe,marvel
Fury (Marvel Comics),marvel
Silver Samurai,marvel
Mercury (Marvel Comics),marvel
Black Talon (comics),marvel
Corruptor (comics),marvel
Annihilus,marvel
Hellfire Club (comics)#Hellfire Academy,marvel
Jimmy Hudson,marvel
Morph (comics),marvel
Mindless Ones,marvel
Bucky (Marvel Comics),marvel
Unus the Untouchable,marvel
Phantom Rider,marvel
Trapster,marvel
Arclight (comics),marvel
Kraven the Hunter,marvel
Randy O'Brien,marvel
Gardener (comics),marvel
Elders of the Universe,marvel
Dum-Dum Dugan,marvel
Dark Riders (comics),marvel
Mister Fantastic,marvel
Tildie Soames,marvel
Cullen Bloodstone,marvel
Beyonder,marvel
Clay Quartermain,marvel
Medusa (comics),marvel
Gamma Corps#First Gamma Corps,marvel
David Griffith (comics),marvel
Norman Osborn|Norman Osborn (Sam Raimi film series),marvel
Left-Winger (comics),marvel
Strongman (comics),marvel
Gamora,marvel
Crimson Cavalier,marvel
Dracula (Marvel Comics),marvel
Firepower (comics),marvel
Wither (comics),marvel
Whiteout (Marvel Comics),marvel
Angel (Thomas Halloway),marvel
Jackal (Marvel Comics character),marvel
Nathaniel Richards (Marvel Comics),marvel
Massacre (Marvel Comics),marvel
Titania (Marvel Comics),marvel
Wiccan (comics),marvel
Masked Marauder,marvel
Max Modell,marvel
Lois London,marvel
Orphan-Maker,marvel
Omega (Marvel Comics),marvel
Giant-Man,marvel
Steel Serpent,marvel
Mister Fear,marvel
Phyla-Vell,marvel
Peregrine (comics),marvel
Stonewall (comics),marvel
Roma (comics),marvel
Gemini (Marvel Comics),marvel
Machine Teen,marvel
Whizzer (comics),marvel
Hercules (Marvel Comics),marvel
Rawhide Kid,marvel
Shang-Chi|Shang-Chi (Marvel Cinematic Universe),marvel
Billy Connors (comics),marvel
Arkon,marvel
Onyxx,marvel
Gorilla-Man,marvel
Chase Stein,marvel
Romany Wisdom,marvel
Blastaar,marvel
DP 7,marvel
Indra (comics),marvel
Warrior Woman (Marvel Comics),marvel
Scimitar (Marvel Comics),marvel
Mayhem (comics),marvel
Batwing (Marvel Comics),marvel
Glob (comics),marvel
Tyrak,marvel
Ronin (Marvel Comics),marvel
Nitro (comics),marvel
Trick Shot (comics),marvel
Ex Nihilo (comics),marvel
Nuklo,marvel
Sauron (comics),marvel
Hiro Takachiho,marvel
Dreadknight,marvel
Cosmo the Spacedog,marvel
Captain Marvel (Marvel Comics),marvel
Midgard Serpent (comics),marvel
Threnody (comics),marvel
Eric O'Grady#Black Ant,marvel
Slug (comics),marvel
Jimmy-6,marvel
U.S. Agent (comics),marvel
Merlin (Marvel Comics),marvel
Challenger (comics),marvel
MJ (Marvel Cinematic Universe),marvel
Doctor Bong,marvel
Spot (comics),marvel
Devastator (comics),marvel
Klaw (Marvel Comics),marvel
Spidercide,marvel
Reptil,marvel
Echo (Marvel Comics),marvel
Thanos|Thanos (Marvel Cinematic Universe),marvel
Sprocket (comics),marvel
Ulysses Bloodstone,marvel
Professor Thorton,marvel
Bloodshed (comics),marvel
Steel Spider,marvel
Starlight (Marvel Comics),marvel
Justice (New Universe),marvel
Samuel Silke,marvel
Lady Mastermind,marvel
Hecate (Marvel Comics),marvel
Martin Soap,marvel
Hybrid (Jimmy Marks),marvel
Fantomex,marvel
Cecilia Reyes,marvel
Sun Girl (Marvel Comics),marvel
Amanda Sefton,marvel
Living Laser,marvel
Overmind (comics),marvel
Jemma Simmons,marvel
Slither (comics),marvel
Taurus (comics),marvel
Plunderer (comics),marvel
Power Princess,marvel
Dryad (comics),marvel
Miracle Man,marvel
Spike Freeman,marvel
Helix (Marvel Comics),marvel
Nightwatch (comics),marvel
Kitty Pryde,marvel
Controller (Marvel Comics),marvel
Machine Man,marvel
Rock Python,marvel
Absorbing Man,marvel
Jack Frost (Marvel Comics),marvel
Hobgoblin (comics),marvel
Jerry Jaxon,marvel
Death's Head,marvel
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),marvel
Lunatik,marvel
Baymax,marvel
Inertia (Marvel Comics),marvel
Dorma (comics),marvel
Sabretooth (comics),marvel
Diamondback (Willis Stryker),marvel
Mister Negative,marvel
Forgotten One (comics),marvel
Bison (comics),marvel
Lucifer (Marvel Comics),marvel
Harold Meachum,marvel
Xavin,marvel
Beverly Switzler,marvel
Hypno-Hustler,marvel
Orbit (comics),marvel
Demolition Man (comics),marvel
El Aguila,marvel
Kaecilius,marvel
Batroc the Leaper,marvel
Ragnarok (comics),marvel
Spider-Man (Pavitr Prabhakar),marvel
Marvel Boy (Robert Grayson),marvel
Leir (Marvel Comics),marvel
Lizard (comics),marvel
Scrambler (comics),marvel
Claire Temple|Claire Temple (Marvel Cinematic Universe),marvel
Phastos,marvel
Tyr (Marvel Comics),marvel
Ebon Samurai,marvel
MODAM,marvel
Master Pandemonium,marvel
Nikki (comics),marvel
Will o' the Wisp (comics),marvel
Condor (comics),marvel
Super Sabre (comics),marvel
Patriot (comics),marvel
Bulldozer (comics),marvel
Hornet (comics),marvel
Andrew Chord,marvel
Rumiko Fujikawa,marvel
Ord (comics),marvel
Scramble (comics),marvel
Karnak (comics),marvel
Betty Ross,marvel
Cammi (comics),marvel
Gauntlet (comics),marvel
Dusk (comics),marvel
Crusader (Marvel Comics),marvel
Anaconda (comics),marvel
Marauders (comics),marvel
Firestar (Marvel Comics),marvel
Hugin and Munin (Marvel Comics),marvel
No-Name,marvel
Radius (comics),marvel
Eric Koenig,marvel
Dirk Anger,marvel
Darren Cross,marvel
Man-Beast,marvel
Proteus (Marvel Comics)#Piecemeal,marvel
Dexter Bennett,marvel
Hit-Monkey,marvel
U-Foes#X-Ray,marvel
Speed Demon (comics),marvel
Benjamin Richard Parker,marvel
Dormammu,marvel
Ebony Maw,marvel
Guardsman (comics),marvel
Enchantress (Marvel Comics),marvel
Black Widow (Marvel Comics),marvel
Sunspot (comics),marvel
Miek,marvel
Solomon O'Sullivan,marvel
Nate Grey,marvel
Callisto (comics),marvel
Aurora (comics),marvel
Hope Pym,marvel
Friedrich Von Roehm,marvel
Cyclops (Marvel Comics),marvel
Taskmaster (comics),marvel
Big Man (comics),marvel
Bolivar Trask,marvel
Uatu,marvel
Optoman,marvel
Maria Hill,marvel
Night Nurse (comics),marvel
Victoria Hand (comics),marvel
Spider-Man 2099,marvel
Monsteroso,marvel
Jane Foster (comics),marvel
Green Goblin|Green Goblin (Ultimate Marvel character),marvel
Masque (comics),marvel
Siryn,marvel
Puck (Marvel Comics),marvel
Viper (Marvel Comics),marvel
Proctor (comics),marvel
Cypher (comics),marvel
Obituary (comics),marvel
Vin Gonzales,marvel
Jetstream (comics),marvel
Ghost Rider,marvel
Avalanche (comics),marvel
Wind Dancer,marvel
Misty Knight,marvel
Chameleon (comics),marvel
Daniel Drumm,marvel
Crusaders (Marvel Comics),marvel
Empath (comics),marvel
Molten Man,marvel
Blockbuster (Marauder),marvel
Donald Pierce,marvel
Snapdragon (comics),marvel
Buzz (Marvel Comics),marvel
Star-Lord,marvel
El Diablo (comics),dc
Batman,dc
XS (comics),dc
Woozy Winks,dc
TNT (character),dc
Professor Pyg,dc
Inferior Five#Superior Five,dc
Zor-El,dc
Circe (character),dc
Anthro (comics),dc
Doctor Psycho,dc
Nite-Wing,dc
Doctor Mid-Nite,dc
Nekron,dc
Bibbo Bibbowski,dc
Angel and the Ape,dc
Ultraa,dc
Atom (character),dc
Masters of Disaster (comics),dc
Creeper (comics)#Fictional character biography,dc
I...Vampire,dc
Captain Nazi,dc
Themyscira (DC Comics)#Notable Amazons,dc
Booster Gold,dc
Doomsday (DC Comics),dc
Hal Jordan#Other versions,dc
Turtle (comics),dc
Universo,dc
Minister Blizzard,dc
Roy Harper (character),dc
Dark Angel (DC Comics),dc
Killer Croc,dc
Ravan (comics),dc
Black Hand (character),dc
Doctor Destiny,dc
Prankster (comics),dc
"Amethyst, Princess of Gemworld",dc
Valentina Vostok,dc
Metallo#Jor-El's Robot,dc
Black Canary,dc
Neutron (DC Comics),dc
Magpie (character),dc
Nocturna (DC Comics),dc
Creature Commandos#Membership,dc
Batwing (DC Comics),dc
Nura Nal,dc
Harry Stein (character),dc
Lucifer (DC Comics),dc
Jade (DC Comics),dc
Comedian (character),dc
Brutale (DC Comics),dc
Abra Kadabra (character),dc
Night Force#Characters,dc
Mammoth (comics),dc
Morgan Edge,dc
Black Orchid (character),dc
Jor-El#His accomplishments,dc
L-Ron,dc
Ultra-Man,dc
Floronic Man,dc
Weapons Master,dc
Bruno Mannheim,dc
Non (comics),dc
Professor Carter Nichols,dc
Gillian B. Loeb,dc
Super-Hip,dc
Protector (DC Comics),dc
Bizarro,dc
Dava (comics),dc
Blue Devil (DC Comics),dc
Hero Hotline#Day shift,dc
Lynx (comics),dc
Hank Hall,dc
Wild Dog (comics)#Fictional character biography,dc
Vixen (comics),dc
Cyclone (DC Comics),dc
Hawkgirl,dc
Validus,dc
Onomatopoeia (comics)#Publication history,dc
Uncle Marvel,dc
Cosmic Boy,dc
Deadshot,dc
Glorious Godfrey,dc
Blackhawk (DC Comics),dc
Omega Men#Later members,dc
Brain Wave (character),dc
Lex Luthor,dc
Captain Comet,dc
Hell (DC Comics)#Fiends,dc
Captain Marvel (DC Comics),dc
Veridium,dc
Dial H for Hero#1980s series,dc
Xenobrood#Fictional history,dc
Quakemaster,dc
Zatara,dc
International Ultramarine Corps#Founding membership,dc
Laurel Gand,dc
Lobo (DC Comics),dc
Inspector Henderson,dc
Wally West,dc
Count Vertigo,dc
Atomic Knight,dc
Uncle Sam (comics),dc
Liberty Belle (comics),dc
Lightning (DC Comics),dc
Chief (DC Comics),dc
Golden Glider,dc
Martian Manhunter,dc
Hourman,dc
Mr. Freeze,dc
Voodoo (Wildstorm),dc
Nightrunner (character),dc
Sin (DC Comics),dc
Apache Chief,dc
Maximums#Team members,dc
Hawk and Dove,dc
Hawkwoman,dc
Flash (DC Comics character),dc
Royal Flush Gang#First Gang: Clubs,dc
Weather Wizard,dc
Gim Allon,dc
Heat Wave (comics),dc
Johnny Sorrow,dc
Brother Blood,dc
Decay (DC Comics),dc
Doom Patrol#John Byrne's Doom Patrol (volume 4),dc
Air Wave,dc
Hero Hotline#Support crew,dc
Batman Beyond#Story,dc
Black Condor,dc
Blockbuster (DC Comics),dc
Fiddler (comics),dc
Argent (character),dc
Whip (comics),dc
Eclipso,dc
Bane (DC Comics),dc
Amygdala (comics),dc
Faora,dc
Hawkman,dc
Doctor Alchemy,dc
Jack O'Lantern (DC Comics),dc
Terrible Trio,dc
Spider (DC Comics),dc
Despero,dc
Wild Dog (comics),dc
Gizmo (DC Comics),dc
Flamebird,dc
Superman (1978 film)#Cast,dc
Larry Lance,dc
Harlequin (character),dc
League of Assassins#Members,dc
Ferro Lad,dc
Battalion (DC Comics),dc
Bronze Tiger,dc
Elongated Man,dc
Calculator (character),dc
Amazing-Man (DC Comics),dc
Harvey Bullock (character),dc
Black Thorn (comics),dc
Lady Styx,dc
Warlock's Daughter,dc
Brainiac (character),dc
Baron Bedlam,dc
Captain Marvel Jr.,dc
Enchantress (DC Comics),dc
Deathstroke#Origins,dc
Doctor Cyber,dc
Gnarrk,dc
Deathstroke,dc
Wonder Boy (character),dc
Lilith Clay,dc
Icon (character),dc
DeSaad,dc
Maxwell Lord,dc
Lori Lemaris,dc
Brainiac 5,dc
Batgirl,dc
Aztek (character),dc
Congorilla,dc
Bat-Mite,dc
Artemis of Bana-Mighdall,dc
Gentleman Ghost,dc
Superwoman,dc
Baby-Doll (character),dc
Fire (comics),dc
Negative Man,dc
Kid Flash,dc
Doctor Manhattan,dc
Bulleteer,dc
Silas Stone,dc
Boodikka,dc
Ares (DC Comics),dc
Zebra-Man,dc
Nightrider (DC Comics),dc
Perry White,dc
Mutants (DC Comics),dc
Catwoman,dc
Lex Luthor#Relationships and family,dc
Ultra Boy,dc
Kelex,dc
Tony Zucco#Other versions,dc
Kid Eternity,dc
Crimson Avenger,dc
Vigilante (comics),dc
Steve Lombard,dc
Metal Men#Members,dc
Nite Owl,dc
Anarky,dc
Dan Turpin,dc
Doctor Sivana#Later appearances,dc
Supergirl,dc
Iris West,dc
Arak (character),dc
Yellow Peri,dc
Roy Harper (character)|Emiko Queen,dc
Nightshade (DC Comics),dc
Hippolyta (DC Comics),dc
Anton Arcane,dc
Lucy Lane,dc
Lara (character),dc
Dream (character),dc
Elseworld's Finest: Supergirl & Batgirl#Secondary characters and cameos,dc
Ch'p,dc
Neon the Unknown,dc
Zauriel,dc
Robin (DC Comics),dc
Wonder Girl (Cassie Sandsmark),dc
G'nort,dc
Beast Boy,dc
Felicity Smoak,dc
Agent Liberty,dc
Rose Wilson,dc
King Standish,dc
Vicki Vale,dc
Hyathis,dc
Aquaman,dc
Emerald Empress,dc
Firebrand (DC Comics),dc
Detective Chimp,dc
Clock King,dc
Doctor Poison,dc
Superman robots,dc
Cornelius Stirk,dc
Harper Row,dc
Major Force,dc
Chronos (character),dc
Batwoman,dc
Jakeem Thunder,dc
Nuidis Vulko,dc
Creeper (DC Comics),dc
Nightwing,dc
Killer Frost,dc
Empire (comics)#Characters,dc
Vandal Savage,dc
Sardath,dc
Eradicator (character),dc
Bombshell (DC Comics),dc
Ding Dong Daddy,dc
Tony Zucco,dc
Reep Daggle,dc
Intergang,dc
Arisia Rrab,dc
Doctor Occult,dc
Clayface,dc
Lionel Luthor,dc
Viking Prince,dc
Beppo (comics),dc
Arion (character),dc
Chris Kent (character),dc
Zachary Zatara,dc
Zatanna,dc
Black Manta,dc
Batman: Mask of the Phantasm#Plot,dc
Flash in other media#The Flash (1990â€“1991),dc
Superman & Batman: Generations#Generations 3,dc
Etrigan the Demon,dc
Phosphorus Rex,dc
General Immortus,dc
Deadman (comics),dc
Brain (DC Comics),dc
Captain Atom,dc
G.I. Robot#J.A.K.E. 1,dc
Doll Man,dc
Lady Blackhawk,dc
White Witch (comics),dc
Flamingo (comics),dc
Veronica Cale,dc
Naiad (character),dc
Doctor Fate,dc
Lady Shiva,dc
Richard Dragon,dc
Paul Westfield,dc
Death (DC Comics),dc
Wonder Twins,dc
Black Alice (comics),dc
Chemo (character),dc
Bat Lash,dc
Impulse (DC Comics),dc
Waverider (character),dc
Calendar Man,dc
Khund#Khundian Legionnaires,dc
Shining Knight#Ystina,dc
Ganthet,dc
Flex Mentallo,dc
Atrocitus,dc
Bozo the Iron Man,dc
Lena Luthor,dc
Kole,dc
Black Mask (character),dc
Superboy,dc
Cyborg Superman,dc
Icemaiden,dc
Anti-Monitor,dc
Giganta,dc
Ice (character),dc
Wizard (DC Comics),dc
Wotan (comics),dc
Antiope (character),dc
Li'l Lobo,dc
Katana (DC Comics),dc
Ultra the Multi-Alien,dc
Atomic Skull,dc
Wintergreen (comics),dc
Virtuoso (comics),dc
Aquagirl,dc
Baroness Paula von Gunther,dc
Albert Rothstein,dc
Mongul,dc
Legion (DC Comics),dc
Weeper (DC Comics),dc
Green Lantern,dc
Jinx (DC Comics),dc
Wildebeest (comics),dc
Gorilla Grodd,dc
Nemesis (DC Comics),dc
Baron Blitzkrieg,dc
Bekka,dc
Phantom Girl,dc
Fury (DC Comics),dc
"Batman: Knightfall#""Troika""",dc
Ultra-Humanite,dc
Dawnstar,dc
Captain Boomerang,dc
Ms. Gsptlsnz,dc
Conduit (character),dc
Aqualad,dc
Nemesis Kid,dc
Lady Vic,dc
Eclipso#Alex Montez,dc
Vartox,dc
Harley Quinn,dc
Bushido (comics),dc
Alura (DC Comics),dc
Arrowette,dc
Wrath (comics),dc
Firefly (DC Comics),dc
Firestorm (character),dc
Blue Beetle,dc
Black Vulcan,dc
Ion (DC Comics),dc
Brainiac 8,dc
Supernova (DC Comics),dc
Batman and Robin (serial)#Cast,dc
Wildfire (comics),dc
Commander Steel,dc
Nightslayer,dc
Super Friends#Other DC Comics villains,dc
Kobra (DC Comics),dc
Brick (character),dc
G.I. Robot#J.A.K.E. 2,dc
Johnny Thunder,dc
Bulletman and Bulletgirl,dc
Invisible Kid,dc
Superman,dc
Axis Amerika#Members,dc
Geo-Force,dc
Nebula Man,dc
Huntress (comics),dc
Orca (DC Comics),dc
Doctor Sivana,dc
Lashina,dc
Killer Moth,dc
Darkseid,dc
Ambush Bug,dc
Livewire (DC Comics),dc
Gambler (comics),dc
Hush (character),dc
General Zahl,dc
Forerunner (DC Comics),dc
Jeremiah Arkham,dc
Lois Lane,dc
Crispus Allen,dc
Warp (comics),dc
Sparta of Synriannaq#Character history,dc
Cheetah (character),dc
Azrael (DC Comics),dc
Zookeeper (comics),dc
Cadre (comics)#Cadre of the Immortal,dc
Adam Strange,dc
Nightmaster,dc
The Pentacle#Membership,dc
Anna Fortune,dc
Raven (DC Comics),dc
Gearhead (DC Comics),dc
Batman (1966 film)#Cast,dc
Sam Lane (comics),dc
Jimmy Olsen,dc
For the Man Who Has Everything#Plot,dc
Red Star (comics),dc
Northwind (comics),dc
Ace the Bat-Hound,dc
Looker (character),dc
Green Lantern Corps#First attempt of rebuilding the Green Lantern Corps,dc
Ultraman (DC Comics),dc
Black Adam,dc
Lady Quark#Crisis,dc
Big Barda,dc
Xombi,dc
Dan the Dyna-Mite,dc
Bumblebee (comics),dc
Blok (comics),dc
Abin Sur,dc
Wonder Woman,dc
Doctor Light (character),dc
Zara (character),dc
Doctor Polaris,dc
Brainwave (character),dc
Black Flash,dc
Isis (DC Comics),dc
Super-Turtle,dc
Nighthawk (DC Comics),dc
Valda the Iron Maiden,dc
Immortal Man,dc
Natas (character),dc
Animal-Vegetable-Mineral Man,dc
Bloodlines (comics)#Publication history,dc
Frankenstein (DC Comics),dc
Amazo,dc
Warlord (DC Comics),dc
Volcana,dc
Weird (comics),dc
Vibe (comics),dc
Ibis the Invincible,dc
The Shadow#Supporting characters,dc
B'wana Beast,dc
Icicle (comics),dc
Bouncing Boy,dc
Felix Faust,dc
Elasti-Girl,dc
Cyborg (DC Comics),dc
Duela Dent,dc
Lagoon Boy,dc
Lady Quark,dc
Captain Cold,dc
Lana Lang,dc
Zeus (DC Comics),dc
Cluemaster,dc
Green Arrow,dc
Virman Vundabar,dc
Demolition Team#Members,dc
Animal Man,dc
King Chimera,dc
Black Lightning,dc
Tally Man,dc
Bug-Eyed Bandit,dc
Wildstar (DC Comics),dc
Larfleeze,dc
Ventriloquist (comics),dc
Cheshire (comics),dc
Guardian (DC Comics),dc
Abby Holland,dc
Hector Hammond,dc
Vartox#Post Crisis,dc
Blaze and Satanus,dc
Unknown Soldier (DC Comics),dc
